City,State,Date,AccidentCount,AverageSeverity,MaxSeverity,HighSeverityFlag,Temperature,Precipitation,Is_Holiday,Year,Month,DayOfWeek,is_weekend,Season,is_rainy,AccidentCount_lag1,AccidentCount_7d_ma
Charlotte,NC,2016-06-21,23,2.0,2,0,,,0,2016,6,1,0,Summer,0,,23.0
Charlotte,NC,2016-06-22,42,2.0,2,0,,,0,2016,6,2,0,Summer,0,23.0,32.5
Charlotte,NC,2016-06-23,35,2.0,2,0,,,0,2016,6,3,0,Summer,0,42.0,33.333333333333336
Charlotte,NC,2016-06-24,17,2.0,2,0,,,0,2016,6,4,0,Summer,0,35.0,29.25
Charlotte,NC,2016-06-25,1,3.0,3,1,,,0,2016,6,5,1,Summer,0,17.0,23.6
Charlotte,NC,2016-06-26,2,3.5,4,1,,,0,2016,6,6,1,Summer,0,1.0,20.0
Charlotte,NC,2016-06-27,59,2.0,2,0,,,0,2016,6,0,0,Summer,0,2.0,25.571428571428573
Charlotte,NC,2016-06-28,21,2.0476190476190474,3,1,,,0,2016,6,1,0,Summer,0,59.0,25.285714285714285
Charlotte,NC,2016-06-29,32,2.0,2,0,,,0,2016,6,2,0,Summer,0,21.0,23.857142857142858
Charlotte,NC,2016-06-30,24,2.125,4,1,,,0,2016,6,3,0,Summer,0,32.0,22.285714285714285
Charlotte,NC,2016-07-01,38,2.0526315789473686,3,1,,,0,2016,7,4,0,Summer,0,24.0,25.285714285714285
Charlotte,NC,2016-07-04,12,2.0,2,0,,,1,2016,7,0,0,Summer,0,38.0,26.857142857142858
Charlotte,NC,2016-07-05,35,2.0,2,0,,,0,2016,7,1,0,Summer,0,12.0,31.571428571428573
Charlotte,NC,2016-07-06,29,2.0,2,0,,,0,2016,7,2,0,Summer,0,35.0,27.285714285714285
Charlotte,NC,2016-07-07,25,2.0,2,0,,,0,2016,7,3,0,Summer,0,29.0,27.857142857142858
Charlotte,NC,2016-07-08,44,2.0,2,0,,,0,2016,7,4,0,Summer,0,25.0,29.571428571428573
Charlotte,NC,2016-07-10,1,3.0,3,1,,,0,2016,7,6,1,Summer,0,44.0,26.285714285714285
